ID,Title,Owner,StartPI,EndPI,ParentId,Status,Dependencies
goal-2-scope-4-feature-3,"Video tutorials",Rubber Duckies,25.1,25.2,goal-2-scope-4,completed,
goal-2-scope-4-feature-4,"Search functionality",Promise Keepers,25.2,25.2,goal-2-scope-4,completed,
goal-2-scope-4-feature-5,"User feedback system",Null Terminators,25.2,25.2,goal-2-scope-4,completed,
goal-2-scope-5,"Loyalty Program",Infinite Loopers,,,goal-2,in-progress,
goal-2-scope-5-feature-1,"Points system design",Hot Module Reloaders,25.2,25.2,goal-2-scope-5,completed,
goal-2-scope-5-feature-2,"Rewards catalog",Console Loggers,25.2,25.2,goal-2-scope-5,completed,
goal-2-scope-5-feature-3,"Tier progression system",Datadogs,25.2,25.3,goal-2-scope-5,in-progress,
goal-2-scope-5-feature-4,"Partner integrations",Rubber Duckies,25.3,25.3,goal-2-scope-5,planned,
goal-2-scope-5-feature-5,"Analytics and reporting",Promise Keepers,25.3,25.3,goal-2-scope-5,planned,
goal-3,"Data Analytics Platform",,,,,,
goal-3-scope-1,"Data Warehouse",Null Terminators,,,goal-3,in-progress,
goal-3-scope-1-feature-1,"Schema design",Infinite Loopers,25.2,25.2,goal-3-scope-1,completed,
goal-3-scope-1-feature-2,"ETL pipeline setup",Hot Module Reloaders,25.2,25.2,goal-3-scope-1,completed,
goal-3-scope-1-feature-3,"Data quality checks",Console Loggers,25.2,25.3,goal-3-scope-1,in-progress,
goal-3-scope-1-feature-4,"Historical data migration",Datadogs,25.3,25.3,goal-3-scope-1,planned,
goal-3-scope-1-feature-5,"Performance tuning",Rubber Duckies,25.3,25.3,goal-3-scope-1,planned,
goal-3-scope-2,"Business Intelligence Tools",Promise Keepers,,,goal-3,planned,
goal-3-scope-2-feature-1,"Dashboard framework",Null Terminators,25.3,25.3,goal-3-scope-2,planned,
goal-3-scope-2-feature-2,"Report builder",Infinite Loopers,25.3,25.3,goal-3-scope-2,planned,
goal-3-scope-2-feature-3,"Data visualization library",Hot Module Reloaders,25.3,25.4,goal-3-scope-2,planned,
goal-3-scope-2-feature-4,"Scheduled reports",Console Loggers,25.4,25.4,goal-3-scope-2,planned,
goal-3-scope-2-feature-5,"Export functionality",Datadogs,25.4,25.4,goal-3-scope-2,planned,
goal-3-scope-3,"Real-time Analytics",Rubber Duckies,,,goal-3,planned,
goal-3-scope-3-feature-1,"Stream processing setup",Promise Keepers,25.3,25.3,goal-3-scope-3,planned,
goal-3-scope-3-feature-2,"Event tracking system",Null Terminators,25.3,25.3,goal-3-scope-3,planned,
goal-3-scope-3-feature-3,"Real-time aggregation",Infinite Loopers,25.3,25.4,goal-3-scope-3,planned,
goal-3-scope-3-feature-4,"Alert system",Hot Module Reloaders,25.4,25.4,goal-3-scope-3,planned,
goal-3-scope-3-feature-5,"Live dashboard updates",Console Loggers,25.4,25.4,goal-3-scope-3,planned,
goal-3-scope-4,"Predictive Analytics",Datadogs,,,goal-3,planned,
goal-3-scope-4-feature-1,"ML infrastructure",Rubber Duckies,25.4,25.4,goal-3-scope-4,planned,
goal-3-scope-4-feature-2,"Feature engineering",Promise Keepers,25.4,25.4,goal-3-scope-4,planned,
goal-3-scope-4-feature-3,"Model training pipeline",Null Terminators,25.4,25.5,goal-3-scope-4,planned,
goal-3-scope-4-feature-4,"Prediction API",Infinite Loopers,25.5,25.5,goal-3-scope-4,planned,
goal-3-scope-4-feature-5,"Model monitoring",Hot Module Reloaders,25.5,25.5,goal-3-scope-4,planned,
goal-3-scope-5,"Data Governance",Console Loggers,,,goal-3,in-progress,
goal-3-scope-5-feature-1,"Data catalog",Datadogs,25.2,25.2,goal-3-scope-5,completed,
goal-3-scope-5-feature-2,"Access control policies",Rubber Duckies,25.2,25.3,goal-3-scope-5,in-progress,
goal-3-scope-5-feature-3,"Data lineage tracking",Promise Keepers,25.2,25.3,goal-3-scope-5,in-progress,
goal-3-scope-5-feature-4,"Compliance reporting",Null Terminators,25.3,25.3,goal-3-scope-5,planned,
goal-3-scope-5-feature-5,"Audit trails",Infinite Loopers,25.3,25.3,goal-3-scope-5,planned,
goal-4,"E-commerce Platform Expansion",,,,,,
goal-4-scope-1,"Marketplace Integration",Hot Module Reloaders,,,goal-4,completed,
goal-4-scope-1-feature-1,"Seller onboarding",Console Loggers,25.1,25.1,goal-4-scope-1,completed,
goal-4-scope-1-feature-2,"Product listing management",Datadogs,25.1,25.1,goal-4-scope-1,completed,
goal-4-scope-1-feature-3,"Commission system",Rubber Duckies,25.1,25.2,goal-4-scope-1,completed,
goal-4-scope-1-feature-4,"Seller dashboard",Promise Keepers,25.2,25.2,goal-4-scope-1,completed,
goal-4-scope-1-feature-5,"Review and rating system",Null Terminators,25.2,25.2,goal-4-scope-1,completed,
goal-4-scope-2,"International Shipping",Infinite Loopers,,,goal-4,in-progress,
goal-4-scope-2-feature-1,"Multi-currency support",Hot Module Reloaders,25.2,25.2,goal-4-scope-2,completed,
goal-4-scope-2-feature-2,"Customs documentation",Console Loggers,25.2,25.2,goal-4-scope-2,completed,
goal-4-scope-2-feature-3,"Carrier integrations",Datadogs,25.2,25.3,goal-4-scope-2,in-progress,
goal-4-scope-2-feature-4,"Tax calculation",Rubber Duckies,25.3,25.3,goal-4-scope-2,planned,
goal-4-scope-2-feature-5,"Shipping rate calculator",Promise Keepers,25.3,25.3,goal-4-scope-2,planned,
goal-4-scope-3,"Subscription Service",Null Terminators,,,goal-4,planned,
goal-4-scope-3-feature-1,"Subscription plans",Infinite Loopers,25.3,25.3,goal-4-scope-3,planned,
goal-4-scope-3-feature-2,"Recurring billing",Hot Module Reloaders,25.3,25.3,goal-4-scope-3,planned,
goal-4-scope-3-feature-3,"Subscription management",Console Loggers,25.3,25.4,goal-4-scope-3,planned,
goal-4-scope-3-feature-4,"Cancellation flow",Datadogs,25.4,25.4,goal-4-scope-3,planned,
goal-4-scope-3-feature-5,"Subscription analytics",Rubber Duckies,25.4,25.4,goal-4-scope-3,planned,
goal-4-scope-4,"Inventory Management",Promise Keepers,,,goal-4,completed,
goal-4-scope-4-feature-1,"Stock tracking system",Null Terminators,25.1,25.1,goal-4-scope-4,completed,
goal-4-scope-4-feature-2,"Warehouse management",Infinite Loopers,25.1,25.1,goal-4-scope-4,completed,
goal-4-scope-4-feature-3,"Auto-reorder system",Hot Module Reloaders,25.1,25.2,goal-4-scope-4,completed,
goal-4-scope-4-feature-4,"Low stock alerts",Console Loggers,25.2,25.2,goal-4-scope-4,completed,
goal-4-scope-4-feature-5,"Inventory reports",Datadogs,25.2,25.2,goal-4-scope-4,completed,
goal-4-scope-5,"AR Shopping Experience",Rubber Duckies,,,goal-4,planned,
goal-4-scope-5-feature-1,"3D product models",Promise Keepers,25.4,25.4,goal-4-scope-5,planned,
goal-4-scope-5-feature-2,"AR viewer app",Null Terminators,25.4,25.5,goal-4-scope-5,planned,
goal-4-scope-5-feature-3,"Virtual try-on",Infinite Loopers,25.5,25.5,goal-4-scope-5,planned,
goal-4-scope-5-feature-4,"Room visualization",Hot Module Reloaders,25.5,25.6,goal-4-scope-5,planned,
goal-4-scope-5-feature-5,"Social sharing integration",Console Loggers,25.6,26.1,goal-4-scope-5,planned,
